id,title,authors,publisher,published_date,description,reading_modes,page_count,categories,language,is_ebook,epub_is_available,pdf_is_available,maturity_rating,public_domain,image_links,preview_link
o13yAAAACAAJ,Grizzly Tales for Gruesome Kids,Jamie Rix,Puffin HC,1992,,,141.0,['Behaviour'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=o13yAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=o13yAAAACAAJ&dq=subject:horror&hl=&cd=174&source=gbs_api
UIsb8ppiZF4C,Pet Sematary,Stephen King,,1983,"""""Sometimes dead is better...."""" When the Creeds move into a beautiful old house in rural Maine, it all seems too good to be true: physician father, beautiful wife, charming little daughter, adorable infant son -- and now an idyllic home. As a family, they've got it all...right down to the friendly cat. But the nearby woods hide a blood-chilling truth -- more terrifying than death itself...and hideously more powerful.",,388.0,['Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=UIsb8ppiZF4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=UIsb8ppiZF4C&dq=subject:horror&hl=&cd=175&source=gbs_api
axyA_7m0RrwC,Don't Go to Sleep,R. L. Stine,Scholastic Paperbacks,1997,"It's a no-snooze situation! Matt hates his tiny bedroom. It's so small it's practically a closet! Still, Matt's mom refuses to let him sleep in the guest room. After all, they might have guests. Some day. Or year. Then Matt does it. Late one night. When everyone's in bed. He sneaks into the guest room and falls asleep. Poor Matt. He should have listened to his mom. Because when Matt wakes up, his whole life has changed. For the worse. And every time he falls asleep, he wakes up in a new nightmare. . . .",,148.0,['Juvenile Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=axyA_7m0RrwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=axyA_7m0RrwC&dq=subject:horror&hl=&cd=176&source=gbs_api
LrsqNQAACAAJ,Missing,R. L. Stine,Gareth Stevens Pub,1994-04,,,,['Juvenile Fiction'],en,False,False,False,NOT_MATURE,False,,http://books.google.com.br/books?id=LrsqNQAACAAJ&dq=subject:horror&hl=&cd=177&source=gbs_api
IZEBAo_AulUC,Scared,Kyle Carson,iUniverse,2002-03,"A weeping ghost, decapitated children, hungry corpses, and much more. So grab a blanket, turn down the lights, and get set for a terrifying journey into the realms of horror and fear. And if you happen to hear a noise outside your bedroom window, don't worry. It's probably nothing","text, image",156.0,['Fiction'],en,False,True,True,NOT_MATURE,False,http://books.google.com/books/content?id=IZEBAo_AulUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com.br/books?id=IZEBAo_AulUC&printsec=frontcover&dq=subject:horror&hl=&cd=178&source=gbs_api
k2gHRwJhFL0C,Cries of the Children,Clare McNally,Penguin Books USA Incorporated,1992,From the bestselling author of Ghost House and Hear the Children comes an intense thriller about three children who possess amazing powers t o heal--and harm--and the people who will do anything to save them from exploitation by unscrupulous government agents.,,335.0,['Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=k2gHRwJhFL0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=k2gHRwJhFL0C&dq=subject:horror&hl=&cd=179&source=gbs_api
RnzwzgEACAAJ,Life Zero,Stefano Vietti,Ablaze,2023-01-03,"From the artist of Marvel Comics' Daredevil, Marco Checchetto, comes athrilling new adventure! Where were you when the cloud arrived? Wherewere you when the world changed forever? Where were you when people starteddying? Ablaze is proud to present Life Zero by Stefano Vietti (Dragonero) andMarco Checchetto (Daredevil, Avengers, Old Man Hawkeye, Wolverine), with colorsby Andres Mossa (Wolverine, Avengers, Secret Wars 2099). At the limits betweenscience fiction, action and horror is LIFE ZERO! Includes the completeseries plus cover gallery and bonus material!",,0.0,,en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=RnzwzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=RnzwzgEACAAJ&dq=subject:horror&hl=&cd=180&source=gbs_api
hwhOHAAACAAJ,The Hungry Moon,Ramsey Campbell,Vintage,1989-02,"A town trapped in the grip of spreading evil. Isolated on the moors of northern England, the town of Moonwell has remained faithful to their Druid traditions and kept their old rituals alive. Right-wing evangelist Godwin Mann isn't about to let that continue, and his intolerant brand of fundamentalism has struck a chord with the residents. But Mann goes too far when he descends into the pit where the ancient being who's been worshipped by the Druids for centuries is said to dwell.... What emerges is no longer Mann, but a demon in Mann's shape, and only the town's outcasts can see that something is horribly wrong. Slowly, as the evil spreads, Moonwell becomes cut off from the rest of the world. Telephone lines become disconnected. Roads no longer lead out of town. And the monster's power only grows...and grows.",,428.0,['Horror'],en,False,False,False,NOT_MATURE,False,,http://books.google.com.br/books?id=hwhOHAAACAAJ&dq=subject:horror&hl=&cd=181&source=gbs_api
6eci2z6Z6tQC,The Big Book of Horror,Alissa Heyman,"Sterling Publishing Company, Inc.",2006,"Presents abridged and adapted versions of twenty-one horror stories, including Charles Dickens' ""The signalman"" and Edgar Allan Poe's the ""The black cat.""",,122.0,['Juvenile Fiction'],en,False,False,True,NOT_MATURE,False,http://books.google.com/books/content?id=6eci2z6Z6tQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=6eci2z6Z6tQC&dq=subject:horror&hl=&cd=182&source=gbs_api
NXXrVwI9IdAC,Butterfly,Virginia C. Andrews,,1998,An orphan named Butterfly struggles to break free of her painful past.,,196.0,['Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=NXXrVwI9IdAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=NXXrVwI9IdAC&dq=subject:horror&hl=&cd=183&source=gbs_api
3D1MAAAAIAAJ,Portrait of a Man with Red Hair,Hugh Walpole,,1925,"Depicts the malign influence of a manipulative, insane father on his family and others.",,336.0,['Fog'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=3D1MAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=3D1MAAAAIAAJ&dq=subject:horror&hl=&cd=184&source=gbs_api
iE0y54S1VqIC,We Need to Talk About Kevin,Lionel Shriver,Harper Collins,2004-05,"The gripping international bestseller about motherhood gone awry Eva never really wanted to be a mother certainly not the mother of the unlovable boy who murdered seven of his fellow high school students, a cafeteria worker, and a much-adored teacher who tried to befriend him, all two days before his sixteenth birthday. Now, two years later, it is time for her to come to terms with marriage, career, family, parenthood, and Kevin's horrific rampage in a series of startlingly direct correspondences with her estranged husband, Franklyn. Uneasy with the sacrifices and social demotion of motherhood from the start, Eva fears that her alarming dislike for her own son may be responsible for driving him so nihilistically off the rails.",,418.0,['Fiction'],en,False,False,True,NOT_MATURE,False,http://books.google.com/books/content?id=iE0y54S1VqIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=iE0y54S1VqIC&dq=subject:horror&hl=&cd=185&source=gbs_api
